,sub_ind,respDur_keys,respDur_rt,respAfter_keys,respAfter_rt,movie,date,movie_ind,consistency
0,86.0,left,3.070585,left,0.86851,COAXINGB0,2021-07-25_08h39.36.916,0.0,1.0
1,86.0,right,1.90983,right,0.6697,BILLIARDA1,2021-07-25_08h39.36.916,1.0,1.0
2,86.0,right,2.36231,right,0.497974999,DRIFTINGA2,2021-07-25_08h39.36.916,2.0,1.0
3,86.0,left,4.3123,left,1.568915,FISHING3,2021-07-25_08h39.36.916,3.0,1.0
4,86.0,right,1.5390549999999998,right,0.66769,RANDOMMECH4,2021-07-25_08h39.36.916,4.0,1.0
5,86.0,left,4.26602,left,0.6001350000000001,SCARING5,2021-07-25_08h39.36.916,5.0,1.0
6,86.0,left,2.112625,left,0.517355,SEDUCINGB6,2021-07-25_08h39.36.916,6.0,1.0
7,86.0,right,3.7226550000000005,right,0.468825,STARA7,2021-07-25_08h39.36.916,7.0,1.0
8,86.0,left,2.8088450000000003,left,0.6859999999999999,SURPRISINGB8,2021-07-25_08h39.36.916,8.0,1.0
9,86.0,right,2.290645,right,0.550989999,TENNISA9,2021-07-25_08h39.36.916,9.0,1.0
10,10.0,left,2.6565,left,0.3983,COAXINGB0,2021-07-25_14h56.09.793,0.0,1.0
11,10.0,left,9.5418,left,0.6377,BILLIARDA1,2021-07-25_14h56.09.793,1.0,1.0
12,10.0,right,11.2576,right,0.7849,DRIFTINGA2,2021-07-25_14h56.09.793,2.0,1.0
13,10.0,left,12.8555,left,0.6385,FISHING3,2021-07-25_14h56.09.793,3.0,1.0
14,10.0,left,13.4978,left,0.37,RANDOMMECH4,2021-07-25_14h56.09.793,4.0,1.0
15,10.0,left,12.9737,left,0.5276,SCARING5,2021-07-25_14h56.09.793,5.0,1.0
16,10.0,left,9.4759,left,0.4926,SEDUCINGB6,2021-07-25_14h56.09.793,6.0,1.0
17,10.0,left,13.3104,left,0.3399,STARA7,2021-07-25_14h56.09.793,7.0,1.0
18,10.0,left,10.1547,left,0.3003,SURPRISINGB8,2021-07-25_14h56.09.793,8.0,1.0
19,10.0,left,12.8318,left,0.705,TENNISA9,2021-07-25_14h56.09.793,9.0,1.0
20,23.0,left,3.052,left,1.7590000000000001,COAXINGB0,2021-07-25_09h54.48.232,0.0,1.0
21,23.0,right,1.7730000000000001,right,0.483,BILLIARDA1,2021-07-25_09h54.48.232,1.0,1.0
22,23.0,right,3.931,right,0.36700000000000005,DRIFTINGA2,2021-07-25_09h54.48.232,2.0,1.0
23,23.0,left,5.431,right,0.7759999999999999,FISHING3,2021-07-25_09h54.48.232,3.0,-1.0
24,23.0,left,3.08,right,0.626,RANDOMMECH4,2021-07-25_09h54.48.232,4.0,-1.0
25,23.0,left,3.4760000000000004,right,0.542,SCARING5,2021-07-25_09h54.48.232,5.0,-1.0
26,23.0,left,2.345,left,0.622,SEDUCINGB6,2021-07-25_09h54.48.232,6.0,1.0
27,23.0,right,2.642,right,0.396,STARA7,2021-07-25_09h54.48.232,7.0,1.0
28,23.0,left,2.4819999999999998,left,0.8079999999999999,SURPRISINGB8,2021-07-25_09h54.48.232,8.0,1.0
29,23.0,right,2.7769999999999997,right,0.483,TENNISA9,2021-07-25_09h54.48.232,9.0,1.0
30,39.0,left,3.0721,left,0.3104,COAXINGB0,2021-07-25_14h37.25.903,0.0,1.0
31,39.0,right,1.4897,right,0.2389,BILLIARDA1,2021-07-25_14h37.25.903,1.0,1.0
32,39.0,right,1.4719,right,0.1346,DRIFTINGA2,2021-07-25_14h37.25.903,2.0,1.0
33,39.0,left,4.752,left,0.5241,FISHING3,2021-07-25_14h37.25.903,3.0,1.0
34,39.0,right,2.2749,down,1.4263,RANDOMMECH4,2021-07-25_14h37.25.903,4.0,0.5
35,39.0,right,2.8109,left,0.2575,SCARING5,2021-07-25_14h37.25.903,5.0,-1.0
36,39.0,left,2.4207,left,0.3041,SEDUCINGB6,2021-07-25_14h37.25.903,6.0,1.0
37,39.0,right,2.1019,right,0.2466,STARA7,2021-07-25_14h37.25.903,7.0,1.0
38,39.0,left,4.8719,left,0.4928,SURPRISINGB8,2021-07-25_14h37.25.903,8.0,1.0
39,39.0,right,2.0398,right,0.3539,TENNISA9,2021-07-25_14h37.25.903,9.0,1.0
40,47.0,left,2.8651,left,0.6279,COAXINGB0,2021-07-25_14h54.05.867,0.0,1.0
41,47.0,right,2.7805,right,1.091,BILLIARDA1,2021-07-25_14h54.05.867,1.0,1.0
42,47.0,right,1.6014,right,1.1763,DRIFTINGA2,2021-07-25_14h54.05.867,2.0,1.0
43,47.0,left,5.7495,left,0.6813,FISHING3,2021-07-25_14h54.05.867,3.0,1.0
44,47.0,right,2.9610000000000003,right,0.9463,RANDOMMECH4,2021-07-25_14h54.05.867,4.0,1.0
45,47.0,left,9.1354,left,0.6512,SCARING5,2021-07-25_14h54.05.867,5.0,1.0
46,47.0,left,4.985,left,1.6005,SEDUCINGB6,2021-07-25_14h54.05.867,6.0,1.0
47,47.0,right,5.8448,right,0.8327,STARA7,2021-07-25_14h54.05.867,7.0,1.0
48,47.0,left,4.9177,left,1.0068,SURPRISINGB8,2021-07-25_14h54.05.867,8.0,1.0
49,47.0,right,2.2953,right,1.1435,TENNISA9,2021-07-25_14h54.05.867,9.0,1.0
50,31.0,left,3.4533400010000004,left,1.2657900009999998,COAXINGB0,2021-07-25_08h52.20.361,0.0,1.0
51,31.0,right,2.679279998,right,0.7005949990000001,BILLIARDA1,2021-07-25_08h52.20.361,1.0,1.0
52,31.0,right,3.226785,right,0.48053000100000004,DRIFTINGA2,2021-07-25_08h52.20.361,2.0,1.0
53,31.0,right,9.80751,right,0.835494999,FISHING3,2021-07-25_08h52.20.361,3.0,1.0
54,31.0,right,9.12627,right,0.637495,RANDOMMECH4,2021-07-25_08h52.20.361,4.0,1.0
55,31.0,left,14.70643,left,1.455125,SCARING5,2021-07-25_08h52.20.361,5.0,1.0
56,31.0,left,1.9131649990000001,left,0.543445002,SEDUCINGB6,2021-07-25_08h52.20.361,6.0,1.0
57,31.0,right,7.010365002,right,0.800369997,STARA7,2021-07-25_08h52.20.361,7.0,1.0
58,31.0,right,10.807495,right,1.139514998,SURPRISINGB8,2021-07-25_08h52.20.361,8.0,1.0
59,31.0,right,7.115174998,right,0.498890001,TENNISA9,2021-07-25_08h52.20.361,9.0,1.0
60,27.0,left,3.3718,left,1.3651,COAXINGB0,2021-07-25_09h36.55.282,0.0,1.0
61,27.0,right,2.9862,right,1.105,BILLIARDA1,2021-07-25_09h36.55.282,1.0,1.0
62,27.0,right,9.2022,right,0.5713,DRIFTINGA2,2021-07-25_09h36.55.282,2.0,1.0
63,27.0,left,4.7669,left,0.6722,FISHING3,2021-07-25_09h36.55.282,3.0,1.0
64,27.0,right,3.8367,right,0.6897,RANDOMMECH4,2021-07-25_09h36.55.282,4.0,1.0
65,27.0,left,14.8891,left,0.7067,SCARING5,2021-07-25_09h36.55.282,5.0,1.0
66,27.0,left,5.2722,left,1.7116,SEDUCINGB6,2021-07-25_09h36.55.282,6.0,1.0
67,27.0,right,3.9238,right,0.9555,STARA7,2021-07-25_09h36.55.282,7.0,1.0
68,27.0,left,4.5219,left,0.5878,SURPRISINGB8,2021-07-25_09h36.55.282,8.0,1.0
69,27.0,right,5.6076,right,2.7524,TENNISA9,2021-07-25_09h36.55.282,9.0,1.0
70,49.0,left,6.024,left,0.519,COAXINGB0,2021-07-25_14h51.08.713,0.0,1.0
71,49.0,right,3.864,right,1.079,BILLIARDA1,2021-07-25_14h51.08.713,1.0,1.0
72,49.0,right,6.8,right,1.4269999999999998,DRIFTINGA2,2021-07-25_14h51.08.713,2.0,1.0
73,49.0,left,9.125,left,0.669,FISHING3,2021-07-25_14h51.08.713,3.0,1.0
74,49.0,right,10.238999999999999,down,2.3680000000000003,RANDOMMECH4,2021-07-25_14h51.08.713,4.0,0.5
75,49.0,left,11.565,left,0.522,SCARING5,2021-07-25_14h51.08.713,5.0,1.0
76,49.0,left,5.989,left,0.41600000000000004,SEDUCINGB6,2021-07-25_14h51.08.713,6.0,1.0
77,49.0,right,5.391,right,0.29,STARA7,2021-07-25_14h51.08.713,7.0,1.0
78,49.0,left,6.693,left,0.44299999999999995,SURPRISINGB8,2021-07-25_14h51.08.713,8.0,1.0
79,49.0,right,2.468,right,0.39899999999999997,TENNISA9,2021-07-25_14h51.08.713,9.0,1.0
80,28.0,left,7.6051,left,0.9726,COAXINGB0,2021-07-25_09h52.37.514,0.0,1.0
81,28.0,right,5.4255,right,0.4425,BILLIARDA1,2021-07-25_09h52.37.514,1.0,1.0
82,28.0,right,7.9839,right,0.4603,DRIFTINGA2,2021-07-25_09h52.37.514,2.0,1.0
83,28.0,left,7.5261,left,0.5766,FISHING3,2021-07-25_09h52.37.514,3.0,1.0
84,28.0,right,6.9436,right,0.6564,RANDOMMECH4,2021-07-25_09h52.37.514,4.0,1.0
85,28.0,right,9.592,left,0.4585,SCARING5,2021-07-25_09h52.37.514,5.0,-1.0
86,28.0,left,6.159,left,0.5734,SEDUCINGB6,2021-07-25_09h52.37.514,6.0,1.0
87,28.0,right,4.0275,right,0.4399,STARA7,2021-07-25_09h52.37.514,7.0,1.0
88,28.0,left,6.0889,left,0.428,SURPRISINGB8,2021-07-25_09h52.37.514,8.0,1.0
89,28.0,right,3.6562,right,0.3895,TENNISA9,2021-07-25_09h52.37.514,9.0,1.0
90,82.0,left,3.5059,left,1.7619,COAXINGB0,2021-07-25_14h40.49.399,0.0,1.0
91,82.0,right,1.8036,right,0.8385,BILLIARDA1,2021-07-25_14h40.49.399,1.0,1.0
92,82.0,right,7.013,right,0.8164,DRIFTINGA2,2021-07-25_14h40.49.399,2.0,1.0
93,82.0,left,16.2584,left,1.1392,FISHING3,2021-07-25_14h40.49.399,3.0,1.0
94,82.0,right,11.1755,right,1.0055,RANDOMMECH4,2021-07-25_14h40.49.399,4.0,1.0
95,82.0,left,16.9812,left,1.5530000000000002,SCARING5,2021-07-25_14h40.49.399,5.0,1.0
96,82.0,left,5.8153,left,0.6966,SEDUCINGB6,2021-07-25_14h40.49.399,6.0,1.0
97,82.0,right,7.1128,right,0.7888,STARA7,2021-07-25_14h40.49.399,7.0,1.0
98,82.0,left,11.3905,left,1.1863,SURPRISINGB8,2021-07-25_14h40.49.399,8.0,1.0
99,82.0,right,14.9775,right,1.2798,TENNISA9,2021-07-25_14h40.49.399,9.0,1.0
100,54.0,left,8.839,left,0.703,COAXINGB0,2021-07-25_14h55.08.288,0.0,1.0
101,54.0,right,6.771,right,0.672,BILLIARDA1,2021-07-25_14h55.08.288,1.0,1.0
102,54.0,right,8.662,right,0.483,DRIFTINGA2,2021-07-25_14h55.08.288,2.0,1.0
103,54.0,left,11.955,left,0.585,FISHING3,2021-07-25_14h55.08.288,3.0,1.0
104,54.0,right,12.804,right,0.619,RANDOMMECH4,2021-07-25_14h55.08.288,4.0,1.0
105,54.0,left,10.005,left,0.569,SCARING5,2021-07-25_14h55.08.288,5.0,1.0
106,54.0,left,12.234000000000002,left,0.607,SEDUCINGB6,2021-07-25_14h55.08.288,6.0,1.0
107,54.0,right,6.23,right,0.502,STARA7,2021-07-25_14h55.08.288,7.0,1.0
108,54.0,left,7.42,left,1.151,SURPRISINGB8,2021-07-25_14h55.08.288,8.0,1.0
109,54.0,right,7.337000000000001,right,1.7080000000000002,TENNISA9,2021-07-25_14h55.08.288,9.0,1.0
110,99.0,right,2.0336,left,0.3045,COAXINGB0,2021-07-25_09h52.50.243,0.0,-1.0
111,99.0,right,1.9512,right,0.5509,BILLIARDA1,2021-07-25_09h52.50.243,1.0,1.0
112,99.0,right,2.8018,right,0.1677,DRIFTINGA2,2021-07-25_09h52.50.243,2.0,1.0
113,99.0,left,5.1027,left,0.6865,FISHING3,2021-07-25_09h52.50.243,3.0,1.0
114,99.0,right,2.9763,right,0.934,RANDOMMECH4,2021-07-25_09h52.50.243,4.0,1.0
115,99.0,left,9.3015,left,0.5945,SCARING5,2021-07-25_09h52.50.243,5.0,1.0
116,99.0,left,6.8522,left,0.7933,SEDUCINGB6,2021-07-25_09h52.50.243,6.0,1.0
117,99.0,right,3.1875,right,0.4192,STARA7,2021-07-25_09h52.50.243,7.0,1.0
118,99.0,left,6.4188,left,0.8669,SURPRISINGB8,2021-07-25_09h52.50.243,8.0,1.0
119,99.0,right,2.8677,right,0.7672,TENNISA9,2021-07-25_09h52.50.243,9.0,1.0
120,71.0,left,6.4807,left,0.5114,COAXINGB0,2021-07-25_14h55.55.208,0.0,1.0
121,71.0,right,3.3828,right,0.8003,BILLIARDA1,2021-07-25_14h55.55.208,1.0,1.0
122,71.0,right,4.4274,right,0.6378,DRIFTINGA2,2021-07-25_14h55.55.208,2.0,1.0
123,71.0,left,4.7083,left,0.7384,FISHING3,2021-07-25_14h55.55.208,3.0,1.0
124,71.0,right,2.3644,,,RANDOMMECH4,2021-07-25_14h55.55.208,4.0,0.0
125,71.0,left,11.1697,left,0.9454,SCARING5,2021-07-25_14h55.55.208,5.0,1.0
126,71.0,left,6.4581,left,0.6757,SEDUCINGB6,2021-07-25_14h55.55.208,6.0,1.0
127,71.0,right,1.7285,right,0.6832,STARA7,2021-07-25_14h55.55.208,7.0,1.0
128,71.0,left,1.7646,left,1.2838,SURPRISINGB8,2021-07-25_14h55.55.208,8.0,1.0
129,71.0,right,2.4459,right,0.8531,TENNISA9,2021-07-25_14h55.55.208,9.0,1.0
130,43.0,left,3.4473,left,0.6769,COAXINGB0,2021-07-25_14h54.37.944,0.0,1.0
