subj_idx,countNonSoc(No),countSoc(Yes),Yes-No,Yes+No,No_pc,Yes_pc,Soc-NonSoc_pc
100206,1.0,9.0,8.0,10.0,10.0,90.0,80.0
100307,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
100408,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
100610,5.0,5.0,0.0,10.0,50.0,50.0,0.0
101309,2.0,5.0,3.0,7.0,28.571428571428573,71.42857142857143,42.85714285714286
101410,5.0,5.0,0.0,10.0,50.0,50.0,0.0
101915,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
102008,3.0,4.0,1.0,7.0,42.857142857142854,57.142857142857146,14.285714285714292
102311,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
102513,1.0,9.0,8.0,10.0,10.0,90.0,80.0
102614,5.0,5.0,0.0,10.0,50.0,50.0,0.0
102715,4.0,6.0,2.0,10.0,40.0,60.0,20.0
103111,2.0,7.0,5.0,9.0,22.22222222222222,77.77777777777777,55.55555555555555
103212,5.0,5.0,0.0,10.0,50.0,50.0,0.0
103414,5.0,5.0,0.0,10.0,50.0,50.0,0.0
103818,3.0,5.0,2.0,8.0,37.5,62.5,25.0
104012,3.0,4.0,1.0,7.0,42.857142857142854,57.142857142857146,14.285714285714292
104416,4.0,4.0,0.0,8.0,50.0,50.0,0.0
104820,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
105014,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
105115,4.0,6.0,2.0,10.0,40.0,60.0,20.0
105216,5.0,5.0,0.0,10.0,50.0,50.0,0.0
105620,5.0,5.0,0.0,10.0,50.0,50.0,0.0
106016,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
106319,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
106824,5.0,5.0,0.0,10.0,50.0,50.0,0.0
107018,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
107220,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
107321,5.0,5.0,0.0,10.0,50.0,50.0,0.0
107422,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
108020,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
108121,5.0,5.0,0.0,10.0,50.0,50.0,0.0
108323,5.0,4.0,-1.0,9.0,55.55555555555556,44.44444444444444,-11.111111111111114
108828,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
109830,3.0,5.0,2.0,8.0,37.5,62.5,25.0
110007,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
110411,5.0,5.0,0.0,10.0,50.0,50.0,0.0
111009,5.0,5.0,0.0,10.0,50.0,50.0,0.0
111312,2.0,7.0,5.0,9.0,22.22222222222222,77.77777777777777,55.55555555555555
111514,5.0,5.0,0.0,10.0,50.0,50.0,0.0
111716,5.0,5.0,0.0,10.0,50.0,50.0,0.0
112112,6.0,4.0,-2.0,10.0,60.0,40.0,-20.0
112314,4.0,6.0,2.0,10.0,40.0,60.0,20.0
112516,5.0,5.0,0.0,10.0,50.0,50.0,0.0
112920,5.0,5.0,0.0,10.0,50.0,50.0,0.0
113316,2.0,6.0,4.0,8.0,25.0,75.0,50.0
113619,5.0,4.0,-1.0,9.0,55.55555555555556,44.44444444444444,-11.111111111111114
113922,5.0,5.0,0.0,10.0,50.0,50.0,0.0
114116,5.0,5.0,0.0,10.0,50.0,50.0,0.0
114419,3.0,7.0,4.0,10.0,30.0,70.0,40.0
114621,5.0,5.0,0.0,10.0,50.0,50.0,0.0
114823,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
115217,2.0,7.0,5.0,9.0,22.22222222222222,77.77777777777777,55.55555555555555
115825,4.0,4.0,0.0,8.0,50.0,50.0,0.0
116221,5.0,5.0,0.0,10.0,50.0,50.0,0.0
116726,4.0,6.0,2.0,10.0,40.0,60.0,20.0
117021,5.0,5.0,0.0,10.0,50.0,50.0,0.0
117324,5.0,4.0,-1.0,9.0,55.55555555555556,44.44444444444444,-11.111111111111114
117930,5.0,5.0,0.0,10.0,50.0,50.0,0.0
118023,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
118124,5.0,4.0,-1.0,9.0,55.55555555555556,44.44444444444444,-11.111111111111114
118225,5.0,5.0,0.0,10.0,50.0,50.0,0.0
118528,0.0,9.0,9.0,9.0,0.0,100.0,100.0
118831,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
118932,5.0,5.0,0.0,10.0,50.0,50.0,0.0
119025,4.0,6.0,2.0,10.0,40.0,60.0,20.0
119732,6.0,4.0,-2.0,10.0,60.0,40.0,-20.0
120111,5.0,5.0,0.0,10.0,50.0,50.0,0.0
120212,5.0,5.0,0.0,10.0,50.0,50.0,0.0
120515,5.0,5.0,0.0,10.0,50.0,50.0,0.0
120717,5.0,5.0,0.0,10.0,50.0,50.0,0.0
121921,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
122317,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
122418,5.0,5.0,0.0,10.0,50.0,50.0,0.0
122822,5.0,5.0,0.0,10.0,50.0,50.0,0.0
123117,5.0,5.0,0.0,10.0,50.0,50.0,0.0
123521,3.0,5.0,2.0,8.0,37.5,62.5,25.0
124220,5.0,5.0,0.0,10.0,50.0,50.0,0.0
124422,3.0,7.0,4.0,10.0,30.0,70.0,40.0
124826,5.0,5.0,0.0,10.0,50.0,50.0,0.0
125222,1.0,7.0,6.0,8.0,12.5,87.5,75.0
126325,5.0,4.0,-1.0,9.0,55.55555555555556,44.44444444444444,-11.111111111111114
126426,5.0,5.0,0.0,10.0,50.0,50.0,0.0
127226,5.0,4.0,-1.0,9.0,55.55555555555556,44.44444444444444,-11.111111111111114
127327,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
127630,4.0,6.0,2.0,10.0,40.0,60.0,20.0
127731,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
127933,3.0,5.0,2.0,8.0,37.5,62.5,25.0
128026,5.0,5.0,0.0,10.0,50.0,50.0,0.0
128127,5.0,5.0,0.0,10.0,50.0,50.0,0.0
128632,5.0,5.0,0.0,10.0,50.0,50.0,0.0
128935,2.0,6.0,4.0,8.0,25.0,75.0,50.0
129028,3.0,5.0,2.0,8.0,37.5,62.5,25.0
129129,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
129331,3.0,5.0,2.0,8.0,37.5,62.5,25.0
129937,5.0,5.0,0.0,10.0,50.0,50.0,0.0
130013,5.0,5.0,0.0,10.0,50.0,50.0,0.0
130114,5.0,5.0,0.0,10.0,50.0,50.0,0.0
130316,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
130417,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
130518,5.0,5.0,0.0,10.0,50.0,50.0,0.0
131217,5.0,5.0,0.0,10.0,50.0,50.0,0.0
131419,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
131722,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
131924,5.0,5.0,0.0,10.0,50.0,50.0,0.0
132017,5.0,5.0,0.0,10.0,50.0,50.0,0.0
133019,5.0,4.0,-1.0,9.0,55.55555555555556,44.44444444444444,-11.111111111111114
133625,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
133928,6.0,4.0,-2.0,10.0,60.0,40.0,-20.0
134223,5.0,5.0,0.0,10.0,50.0,50.0,0.0
134425,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
134627,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
134829,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
135124,5.0,5.0,0.0,10.0,50.0,50.0,0.0
135528,5.0,5.0,0.0,10.0,50.0,50.0,0.0
135629,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
135730,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
135932,5.0,4.0,-1.0,9.0,55.55555555555556,44.44444444444444,-11.111111111111114
136126,4.0,5.0,1.0,9.0,44.44444444444444,55.55555555555556,11.111111111111114
136227,3.0,6.0,3.0,9.0,33.333333333333336,66.66666666666667,33.333333333333336
