subj_idx,stim,movie,rt,response,run,accuracy,logRT
168745,Mental,Scaring.AVI,1.252,1,1,1.0,0.22474227267790678
168745,Mental,SEDUCING-B.AVI,0.578,1,1,1.0,-0.5481814103097596
168745,Random,STAR-A.AVI,1.643,0,1,1.0,0.49652383905513103
168745,Mental,SURPRISING-B.AVI,1.082,1,1,1.0,0.07881118042428985
168745,Random,TENNIS-A.AVI,1.232,0,1,1.0,0.208638865111328
668361,Random,BILLIARD-A.AVI,1.254,0,0,1.0,0.22633844221072896
668361,Random,DRIFTING-A.AVI,0.59,0,0,1.0,-0.527632742082372
668361,Mental,Fishing.AVI,0.993,0,0,0.0,-0.007024614936964466
668361,Random,Random mechanical.AVI,0.816,0,0,1.0,-0.2033409240180301
165638,Mental,COAXING-B.AVI,0.842,1,0,1.0,-0.17197526473981037
165638,Random,BILLIARD-A.AVI,0.921,0,0,1.0,-0.08229524272683016
165638,Random,DRIFTING-A.AVI,0.96,0,0,1.0,-0.040821994520255166
165638,Mental,Fishing.AVI,2.544,1,0,1.0,0.9337376454778757
165638,Random,Random mechanical.AVI,1.179,0,0,1.0,0.16466662155523393
179548,Mental,COAXING-B.AVI,0.944,1,0,1.0,-0.057629112836636416
179548,Random,BILLIARD-A.AVI,0.815,0,0,1.0,-0.2045671657412744
179548,Random,DRIFTING-A.AVI,0.554,0,0,1.0,-0.5905905922348531
179548,Mental,Fishing.AVI,0.858,1,0,1.0,-0.15315117949417478
179548,Random,Random mechanical.AVI,1.223,0,0,1.0,0.20130685670503537
248339,Mental,Scaring.AVI,0.752,1,1,1.0,-0.28501895503229724
248339,Random,STAR-A.AVI,0.927,0,1,1.0,-0.07580171341628185
248339,Mental,SURPRISING-B.AVI,0.932,1,1,1.0,-0.07042246429654582
248339,Random,TENNIS-A.AVI,0.839,0,1,1.0,-0.1755445725149309
176845,Mental,Scaring.AVI,0.607,1,1,1.0,-0.4992264879226388
176845,Mental,SEDUCING-B.AVI,0.377,1,1,1.0,-0.9755100915341263
176845,Random,STAR-A.AVI,0.724,0,1,1.0,-0.3229638865964207
176845,Mental,SURPRISING-B.AVI,0.833,1,1,1.0,-0.1827216368152944
176845,Random,TENNIS-A.AVI,0.578,0,1,1.0,-0.5481814103097596
133019,Mental,Scaring.AVI,1.28,1,1,1.0,0.2468600779315258
133019,Mental,SEDUCING-B.AVI,0.594,1,1,1.0,-0.5208759596194922
