subj_idx,pc_unc_Rand,pc_unc_Mental
100206,0.0,0.0
100307,0.0,20.0
100408,20.0,0.0
100610,0.0,0.0
101309,60.0,0.0
101410,0.0,0.0
101915,20.0,0.0
102008,40.0,20.0
102311,20.0,0.0
102513,0.0,0.0
102614,0.0,0.0
102715,0.0,0.0
103111,20.0,0.0
103212,0.0,0.0
103414,0.0,0.0
103818,40.0,0.0
104012,40.0,20.0
104416,20.0,20.0
104820,20.0,0.0
105014,20.0,0.0
105115,0.0,0.0
105216,0.0,0.0
105620,0.0,0.0
106016,20.0,0.0
106319,20.0,0.0
106824,0.0,0.0
107018,20.0,0.0
107220,20.0,0.0
107321,0.0,0.0
107422,20.0,0.0
108020,20.0,0.0
108121,0.0,0.0
108323,0.0,20.0
108828,20.0,0.0
109830,40.0,0.0
110007,20.0,0.0
110411,0.0,0.0
111009,0.0,0.0
111312,20.0,0.0
111514,0.0,0.0
111716,0.0,0.0
112112,0.0,0.0
112314,0.0,0.0
112516,0.0,0.0
112920,0.0,0.0
113316,40.0,0.0
113619,20.0,0.0
113922,0.0,0.0
114116,0.0,0.0
114419,0.0,0.0
114621,0.0,0.0
114823,20.0,0.0
115217,20.0,0.0
115825,40.0,0.0
116221,0.0,0.0
116726,0.0,0.0
117021,0.0,0.0
117324,20.0,0.0
117930,0.0,0.0
118023,20.0,0.0
118124,0.0,20.0
118225,0.0,0.0
118528,20.0,0.0
118831,20.0,0.0
118932,0.0,0.0
119025,0.0,0.0
119732,0.0,0.0
120111,0.0,0.0
120212,0.0,0.0
120515,0.0,0.0
120717,0.0,0.0
121921,20.0,0.0
122317,20.0,0.0
122418,0.0,0.0
122822,0.0,0.0
123117,0.0,0.0
123521,40.0,0.0
124220,0.0,0.0
124422,0.0,0.0
124826,0.0,0.0
125222,40.0,0.0
126325,0.0,20.0
126426,0.0,0.0
127226,0.0,20.0
127327,20.0,0.0
127630,0.0,0.0
127731,20.0,0.0
127933,40.0,0.0
128026,0.0,0.0
128127,0.0,0.0
128632,0.0,0.0
128935,40.0,0.0
129028,40.0,0.0
129129,20.0,0.0
129331,40.0,0.0
129937,0.0,0.0
130013,0.0,0.0
130114,0.0,0.0
130316,20.0,0.0
130417,20.0,0.0
130518,0.0,0.0
131217,0.0,0.0
131419,20.0,0.0
131722,20.0,0.0
131924,0.0,0.0
132017,0.0,0.0
133019,0.0,20.0
133625,20.0,0.0
133928,0.0,0.0
134223,0.0,0.0
134425,20.0,0.0
134627,20.0,0.0
134829,20.0,0.0
135124,0.0,0.0
135528,0.0,0.0
135629,20.0,0.0
135730,20.0,0.0
135932,0.0,20.0
136126,20.0,0.0
136227,20.0,0.0
136631,20.0,20.0
136732,20.0,0.0
136833,0.0,0.0
137027,0.0,0.0
137128,0.0,0.0
137229,0.0,0.0
137431,0.0,0.0
137633,0.0,0.0
138130,0.0,0.0
138231,0.0,20.0
139233,0.0,0.0
139435,0.0,0.0
139839,0.0,0.0
140117,20.0,0.0
140420,0.0,20.0
141119,0.0,0.0
141422,0.0,0.0
142828,0.0,0.0
143224,20.0,0.0
143325,20.0,0.0
143426,20.0,0.0
143830,20.0,40.0
144125,40.0,20.0
144226,20.0,0.0
144428,0.0,0.0
144832,0.0,0.0
144933,0.0,0.0
145127,20.0,0.0
145632,20.0,0.0
145834,0.0,20.0
146129,20.0,0.0
146331,20.0,0.0
146432,0.0,0.0
