subj_idx,medianRT_NonSoc(No),medianRT_Soc(Yes),medianYes-medianNo
100206,0.683,0.764,0.08099999999999996
100307,0.5925,0.542,-0.05049999999999999
100408,1.2675,1.286,0.01849999999999996
100610,0.848,1.267,0.41899999999999993
101309,1.3965,0.843,-0.5535000000000001
101410,0.934,0.723,-0.21100000000000008
101915,1.4115,1.553,0.14149999999999996
102008,0.619,0.724,0.10499999999999998
102311,0.8875,1.874,0.9865000000000002
102513,1.121,1.044,-0.07699999999999996
102614,0.602,0.838,0.236
102715,1.458,1.2495,-0.2084999999999999
103111,1.24,1.058,-0.18199999999999994
103414,0.989,0.776,-0.21299999999999997
103818,1.051,1.009,-0.04200000000000004
104012,0.671,1.4905,0.8194999999999999
104416,1.1244999999999998,1.1005,-0.0239999999999998
104820,1.0554999999999999,1.272,0.21650000000000014
105014,0.966,0.97,0.0040000000000000036
105115,0.8305,0.8534999999999999,0.02299999999999991
105216,0.793,0.752,-0.041000000000000036
105620,0.61,0.805,0.19500000000000006
106016,0.749,0.71,-0.039000000000000035
106319,1.3505,1.312,-0.03849999999999998
106824,0.748,0.922,0.17400000000000004
107018,1.039,0.974,-0.06499999999999995
107220,1.127,0.684,-0.44299999999999995
107321,0.77,0.472,-0.29800000000000004
107422,1.2895,0.865,-0.4245000000000001
108020,1.198,0.879,-0.31899999999999995
108121,0.778,0.766,-0.01200000000000001
108323,1.651,1.107,-0.544
108828,1.8094999999999999,1.713,-0.09649999999999981
109830,0.638,0.603,-0.03500000000000003
110007,0.782,0.888,0.10599999999999998
110411,1.048,0.905,-0.14300000000000002
111009,1.078,1.049,-0.029000000000000137
111312,2.206,0.609,-1.597
111514,0.93,0.939,0.008999999999999897
111716,0.999,0.817,-0.18200000000000005
112112,0.6975,0.7615,0.06399999999999995
112516,0.861,0.909,0.04800000000000004
112920,0.795,0.612,-0.18300000000000005
113316,2.43,1.8649999999999998,-0.5650000000000004
113619,1.44,1.0065,-0.4335
113922,0.985,0.923,-0.061999999999999944
114116,0.582,0.852,0.27
114419,0.513,0.604,0.09099999999999997
114621,0.783,0.768,-0.015000000000000013
114823,1.552,0.859,-0.6930000000000001
115217,0.9990000000000001,0.768,-0.2310000000000001
115825,0.9359999999999999,0.9425,0.006500000000000061
116221,1.113,1.347,0.23399999999999999
116726,1.225,0.7875000000000001,-0.4375
117021,0.839,1.145,0.30600000000000005
117324,1.087,0.7084999999999999,-0.37850000000000006
117930,0.996,0.988,-0.008000000000000007
118023,0.881,0.997,0.11599999999999999
118124,1.69,0.9715,-0.7184999999999999
118225,1.078,0.992,-0.08600000000000008
118831,0.6575,1.047,0.38949999999999996
118932,0.841,0.72,-0.121
119025,1.1564999999999999,1.0325,-0.12399999999999989
119732,1.041,1.0355,-0.005499999999999838
120111,1.356,1.197,-0.15900000000000003
120212,0.658,0.792,0.134
120515,0.955,0.678,-0.2769999999999999
120717,0.659,0.893,0.23399999999999999
121921,1.0005,1.04,0.03950000000000009
122317,1.157,1.319,0.16199999999999992
122418,0.792,0.786,-0.006000000000000005
122822,0.833,0.905,0.07200000000000006
123117,0.702,0.517,-0.18499999999999994
123521,1.594,0.669,-0.925
124220,0.828,0.784,-0.04399999999999993
124422,0.548,0.807,0.259
124826,1.696,1.455,-0.24099999999999988
125222,0.796,0.998,0.20199999999999996
126325,0.74,0.9184999999999999,0.17849999999999988
126426,0.738,0.683,-0.05499999999999994
127226,0.605,0.885,0.28
127327,0.751,0.715,-0.03600000000000003
127630,0.8554999999999999,0.95,0.09450000000000003
127731,1.04,0.897,-0.14300000000000002
127933,1.172,0.84,-0.33199999999999996
128026,0.801,1.092,0.29100000000000004
128127,0.715,0.792,0.07700000000000007
128632,1.222,0.893,-0.32899999999999996
128935,1.238,1.676,0.43799999999999994
129028,1.586,0.945,-0.6410000000000001
129129,0.508,1.472,0.964
129331,0.719,0.839,0.12
129937,0.725,0.844,0.119
130013,0.802,1.043,0.24099999999999988
130114,0.881,0.9,0.019000000000000017
130316,1.19,1.004,-0.18599999999999994
130417,0.9610000000000001,0.859,-0.10200000000000009
130518,0.985,1.083,0.09799999999999998
131217,1.024,0.853,-0.17100000000000004
131419,1.7915,1.338,-0.4535
131722,1.3864999999999998,1.015,-0.37149999999999994
131924,0.622,0.772,0.15000000000000002
132017,1.128,1.178,0.050000000000000044
133019,0.702,1.1305,0.4285000000000001
133625,0.7255,0.847,0.12149999999999994
133928,1.295,0.6605,-0.6345
134223,1.743,1.291,-0.4520000000000002
134425,0.84,1.14,0.29999999999999993
134627,1.0045,1.419,0.4145000000000001
134829,0.663,0.932,0.269
135124,0.753,0.677,-0.07599999999999996
135528,0.796,0.763,-0.03300000000000003
135629,0.8845000000000001,1.13,0.24549999999999983
135730,1.0385,0.762,-0.27649999999999997
135932,0.59,1.2710000000000001,0.6810000000000002
136126,1.6605,1.294,-0.36650000000000005
136227,0.933,1.5579999999999998,0.6249999999999998
136631,0.804,0.632,-0.17200000000000004
136732,0.665,0.97,0.30499999999999994
136833,0.752,0.989,0.237
137027,1.5379999999999998,1.029,-0.5089999999999999
137128,0.627,0.635,0.008000000000000007
137229,0.939,0.832,-0.10699999999999998
137431,1.383,0.902,-0.481
137633,0.819,1.087,0.268
138130,0.99,1.01,0.020000000000000018
138231,1.101,0.8195,-0.2815
139233,0.926,0.749,-0.17700000000000005
139435,0.822,0.646,-0.17599999999999993
139839,0.778,0.668,-0.10999999999999999
140117,1.005,0.631,-0.3739999999999999
140420,0.756,0.9235,0.16749999999999998
141119,0.849,0.541,-0.30799999999999994
141422,0.829,0.739,-0.08999999999999997
142828,1.453,1.258,-0.19500000000000006
143224,1.3355000000000001,0.908,-0.4275000000000001
143325,1.204,1.171,-0.03299999999999992
143426,0.9910000000000001,0.899,-0.09200000000000008
143830,0.5265,0.658,0.13150000000000006
144125,1.217,1.802,0.585
144226,0.6765000000000001,0.777,0.10049999999999992
144428,0.719,0.972,0.253
144832,0.74,0.984,0.244
144933,1.73,1.559,-0.17100000000000004
145127,0.9510000000000001,0.904,-0.04700000000000004
145632,0.9075,0.968,0.0605
145834,0.642,0.7575000000000001,0.11550000000000005
146129,1.129,1.238,0.10899999999999999
146331,1.68,0.7889999999999999,-0.891
146432,0.866,0.685,-0.18099999999999994
146533,0.573,0.811,0.2380000000000001
146634,1.073,0.95,-0.123
146735,0.623,0.6455,0.022499999999999964
146937,0.718,0.967,0.249
147030,0.7829999999999999,0.7215,-0.06149999999999989
147636,1.338,0.8109999999999999,-0.5270000000000001
147737,0.7344999999999999,0.799,0.06450000000000011
148032,1.0385,1.033,-0.00550000000000006
148133,0.862,1.228,0.366
148335,1.304,0.7395,-0.5645
148436,1.0635,1.1265,0.06300000000000017
148636,1.23,0.941,-0.28900000000000003
148941,1.0685,0.958,-0.11050000000000004
149236,0.974,0.789,-0.18499999999999994
149741,0.949,1.04,0.09100000000000008
149842,0.648,0.881,0.23299999999999998
150423,0.593,0.763,0.17000000000000004
150625,1.95,1.034,-0.9159999999999999
150928,0.7364999999999999,0.877,0.14050000000000007
151021,0.6735,0.732,0.058499999999999996
151223,0.889,0.847,-0.04200000000000004
151324,0.747,0.677,-0.06999999999999995
151425,0.794,0.688,-0.1060000000000001
151627,0.9175,0.565,-0.35250000000000004
151728,1.264,0.564,-0.7000000000000001
151829,0.784,0.8645,0.08050000000000002
152225,1.396,1.071,-0.32499999999999996
152427,0.887,0.87,-0.017000000000000015
152831,0.637,1.221,0.5840000000000001
153025,0.577,0.802,0.2250000000000001
153227,1.012,0.806,-0.20599999999999996
153429,0.898,1.0345,0.13649999999999995
153631,0.8340000000000001,0.679,-0.15500000000000003
153732,0.66,0.691,0.030999999999999917
153833,0.515,0.613,0.09799999999999998
154229,1.367,1.779,0.4119999999999999
154330,0.444,0.602,0.15799999999999997
154431,0.76,0.842,0.08199999999999996
154734,0.999,1.175,0.17600000000000005
154835,0.64,1.017,0.3769999999999999
155231,0.909,0.766,-0.14300000000000002
155635,0.64,0.635,-0.0050000000000000044
155938,0.78,0.923,0.14300000000000002
156031,0.886,1.038,0.15200000000000002
156233,0.937,0.882,-0.05500000000000005
156334,0.5705,0.662,0.09150000000000003
156435,0.6605,0.66,-0.0004999999999999449
156536,0.486,0.533,0.04700000000000004
156627,1.017,1.433,0.41600000000000015
157336,0.672,0.681,0.009000000000000008
157437,0.831,0.815,-0.016000000000000014
157942,0.805,0.577,-0.2280000000000001
158035,0.688,0.674,-0.013999999999999901
158136,0.7444999999999999,0.837,0.09250000000000003
158338,1.2429999999999999,0.792,-0.45099999999999985
158540,0.797,1.022,0.22499999999999998
159138,1.269,0.724,-0.5449999999999999
159239,0.689,0.741,0.052000000000000046
159340,0.717,0.687,-0.029999999999999916
159441,1.0255,0.8554999999999999,-0.17000000000000015
159744,0.62,0.781,0.16100000000000003
159946,0.564,0.615,0.051000000000000045
160729,0.61,0.8055,0.1955
160830,1.245,1.182,-0.06300000000000017
161327,0.49,0.499,0.009000000000000008
161630,0.972,0.937,-0.03499999999999992
161731,0.741,0.791,0.050000000000000044
161832,1.15,1.107,-0.04299999999999993
162026,0.8619999999999999,0.693,-0.16899999999999993
162228,1.194,1.182,-0.01200000000000001
162329,0.73,0.696,-0.03400000000000003
162733,1.216,1.3610000000000002,0.14500000000000024
162935,0.82,0.901,0.08100000000000007
163129,0.656,0.82,0.16399999999999992
163432,0.832,0.782,-0.04999999999999993
