subj_idx,medianRT_Mental,medianRT_Random,medianMental-medianRandom
100206,0.764,0.683,0.08099999999999996
100307,0.537,0.669,-0.132
100408,1.286,1.2675,0.01849999999999996
100610,1.267,0.848,0.41899999999999993
101309,0.843,1.3965,-0.5535000000000001
101410,0.723,0.934,-0.21100000000000008
101915,1.553,1.4115,0.14149999999999996
102008,0.724,0.619,0.10499999999999998
102311,1.874,0.8875,0.9865000000000002
102513,1.044,1.077,-0.03299999999999992
102614,0.838,0.602,0.236
102715,1.32,0.971,0.3490000000000001
103111,0.831,1.1265,-0.2955000000000001
103414,0.776,0.989,-0.21299999999999997
103818,1.009,1.051,-0.04200000000000004
104012,1.966,0.671,1.295
104416,1.1005,1.1244999999999998,-0.0239999999999998
104820,1.272,1.0554999999999999,0.21650000000000014
105014,0.97,0.966,0.0040000000000000036
105115,0.861,0.846,0.015000000000000013
105216,0.752,0.793,-0.041000000000000036
105620,0.805,0.61,0.19500000000000006
106016,0.71,0.749,-0.039000000000000035
106319,1.312,1.3505,-0.03849999999999998
106824,0.922,0.748,0.17400000000000004
107018,0.974,1.039,-0.06499999999999995
107220,0.684,1.127,-0.44299999999999995
107321,0.472,0.77,-0.29800000000000004
107422,0.865,1.2895,-0.4245000000000001
108020,0.879,1.198,-0.31899999999999995
108121,0.766,0.778,-0.01200000000000001
108323,1.107,1.651,-0.544
108828,1.713,1.8094999999999999,-0.09649999999999981
109830,0.603,0.638,-0.03500000000000003
110007,0.888,0.782,0.10599999999999998
110411,0.905,1.048,-0.14300000000000002
111009,1.049,1.078,-0.029000000000000137
111312,0.609,1.2325,-0.6234999999999999
111514,0.939,0.93,0.008999999999999897
111716,0.817,0.999,-0.18200000000000005
112112,0.825,0.614,0.21099999999999997
112516,0.909,0.861,0.04800000000000004
112920,0.612,0.795,-0.18300000000000005
113316,1.68,2.329,-0.6490000000000002
113619,1.128,1.3845,-0.2565000000000002
113922,0.923,0.985,-0.061999999999999944
114116,0.852,0.582,0.27
114419,0.595,0.604,-0.009000000000000008
114621,0.768,0.783,-0.015000000000000013
