index,subj_idx,stim,movie,rt,response,run,accuracy
0,168745,Mental,Scaring.AVI,1.252,1,1,1.0
1,168745,Mental,SEDUCING-B.AVI,0.578,1,1,1.0
2,168745,Random,STAR-A.AVI,1.643,0,1,1.0
3,168745,Mental,SURPRISING-B.AVI,1.082,1,1,1.0
4,168745,Random,TENNIS-A.AVI,1.232,0,1,1.0
5,668361,Mental,COAXING-B.AVI,1.796,9,0,9.0
6,668361,Random,BILLIARD-A.AVI,1.254,0,0,1.0
7,668361,Random,DRIFTING-A.AVI,0.59,0,0,1.0
8,668361,Mental,Fishing.AVI,0.993,0,0,0.0
9,668361,Random,Random mechanical.AVI,0.816,0,0,1.0
10,165638,Mental,COAXING-B.AVI,0.842,1,0,1.0
11,165638,Random,BILLIARD-A.AVI,0.921,0,0,1.0
12,165638,Random,DRIFTING-A.AVI,0.96,0,0,1.0
13,165638,Mental,Fishing.AVI,2.544,1,0,1.0
14,165638,Random,Random mechanical.AVI,1.179,0,0,1.0
20,179548,Mental,COAXING-B.AVI,0.944,1,0,1.0
21,179548,Random,BILLIARD-A.AVI,0.815,0,0,1.0
22,179548,Random,DRIFTING-A.AVI,0.554,0,0,1.0
23,179548,Mental,Fishing.AVI,0.858,1,0,1.0
24,179548,Random,Random mechanical.AVI,1.223,0,0,1.0
25,248339,Mental,Scaring.AVI,0.752,1,1,1.0
26,248339,Mental,SEDUCING-B.AVI,0.824,9,1,9.0
27,248339,Random,STAR-A.AVI,0.927,0,1,1.0
28,248339,Mental,SURPRISING-B.AVI,0.932,1,1,1.0
29,248339,Random,TENNIS-A.AVI,0.839,0,1,1.0
30,176845,Mental,Scaring.AVI,0.607,1,1,1.0
31,176845,Mental,SEDUCING-B.AVI,0.377,1,1,1.0
32,176845,Random,STAR-A.AVI,0.724,0,1,1.0
33,176845,Mental,SURPRISING-B.AVI,0.833,1,1,1.0
34,176845,Random,TENNIS-A.AVI,0.578,0,1,1.0
35,133019,Mental,Scaring.AVI,1.28,1,1,1.0
36,133019,Mental,SEDUCING-B.AVI,0.594,1,1,1.0
37,133019,Random,STAR-A.AVI,0.371,0,1,1.0
38,133019,Mental,SURPRISING-B.AVI,0.981,1,1,1.0
39,133019,Random,TENNIS-A.AVI,2.104,0,1,1.0
40,211114,Mental,Scaring.AVI,0.495,1,1,1.0
41,211114,Mental,SEDUCING-B.AVI,0.799,1,1,1.0
42,211114,Random,STAR-A.AVI,0.777,0,1,1.0
43,211114,Mental,SURPRISING-B.AVI,0.557,1,1,1.0
44,211114,Random,TENNIS-A.AVI,0.468,1,1,0.0
45,176037,Mental,Scaring.AVI,1.703,9,1,9.0
46,176037,Mental,SEDUCING-B.AVI,0.848,1,1,1.0
47,176037,Random,STAR-A.AVI,1.056,0,1,1.0
48,176037,Mental,SURPRISING-B.AVI,0.742,1,1,1.0
49,176037,Random,TENNIS-A.AVI,1.077,9,1,9.0
55,127327,Mental,Scaring.AVI,0.641,1,1,1.0
56,127327,Mental,SEDUCING-B.AVI,0.834,1,1,1.0
57,127327,Random,STAR-A.AVI,0.891,0,1,1.0
58,127327,Mental,SURPRISING-B.AVI,0.715,1,1,1.0
59,127327,Random,TENNIS-A.AVI,0.339,0,1,1.0
60,127933,Mental,COAXING-B.AVI,1.102,1,0,1.0
61,127933,Random,BILLIARD-A.AVI,1.317,0,0,1.0
62,127933,Random,DRIFTING-A.AVI,1.172,0,0,1.0
63,127933,Mental,Fishing.AVI,1.092,1,0,1.0
64,127933,Random,Random mechanical.AVI,2.496,9,0,9.0
65,709551,Mental,Scaring.AVI,0.568,1,1,1.0
66,709551,Mental,SEDUCING-B.AVI,0.749,1,1,1.0
67,709551,Random,STAR-A.AVI,0.606,0,1,1.0
68,709551,Mental,SURPRISING-B.AVI,0.767,1,1,1.0
69,709551,Random,TENNIS-A.AVI,0.952,0,1,1.0
79,865363,Mental,Scaring.AVI,0.586,1,1,1.0
80,865363,Mental,SEDUCING-B.AVI,0.422,1,1,1.0
81,865363,Random,STAR-A.AVI,0.412,0,1,1.0
82,865363,Mental,SURPRISING-B.AVI,0.498,1,1,1.0
83,865363,Random,TENNIS-A.AVI,0.453,0,1,1.0
89,161327,Mental,COAXING-B.AVI,0.863,1,0,1.0
90,161327,Random,BILLIARD-A.AVI,0.49,0,0,1.0
91,161327,Random,DRIFTING-A.AVI,0.439,0,0,1.0
92,161327,Mental,Fishing.AVI,0.713,1,0,1.0
93,161327,Random,Random mechanical.AVI,0.656,0,0,1.0
94,108828,Mental,Scaring.AVI,1.57,1,1,1.0
95,108828,Mental,SEDUCING-B.AVI,1.565,1,1,1.0
96,108828,Random,STAR-A.AVI,1.73,0,1,1.0
97,108828,Mental,SURPRISING-B.AVI,1.713,1,1,1.0
98,108828,Random,TENNIS-A.AVI,1.523,9,1,9.0
99,382242,Mental,COAXING-B.AVI,1.031,1,0,1.0
100,382242,Random,BILLIARD-A.AVI,0.727,0,0,1.0
101,382242,Random,DRIFTING-A.AVI,1.564,0,0,1.0
102,382242,Mental,Fishing.AVI,1.764,1,0,1.0
103,382242,Random,Random mechanical.AVI,2.133,0,0,1.0
104,203923,Mental,COAXING-B.AVI,1.225,1,0,1.0
105,203923,Random,BILLIARD-A.AVI,1.816,0,0,1.0
106,203923,Random,DRIFTING-A.AVI,1.364,0,0,1.0
107,203923,Mental,Fishing.AVI,2.502,9,0,9.0
108,203923,Random,Random mechanical.AVI,1.115,0,0,1.0
109,159239,Mental,Scaring.AVI,0.645,1,1,1.0
110,159239,Mental,SEDUCING-B.AVI,0.734,1,1,1.0
111,159239,Random,STAR-A.AVI,0.436,0,1,1.0
112,159239,Mental,SURPRISING-B.AVI,0.741,1,1,1.0
113,159239,Random,TENNIS-A.AVI,0.855,9,1,9.0
114,116221,Mental,COAXING-B.AVI,1.837,1,0,1.0
115,116221,Random,BILLIARD-A.AVI,1.63,0,0,1.0
116,116221,Random,DRIFTING-A.AVI,1.69,0,0,1.0
117,116221,Mental,Fishing.AVI,1.551,1,0,1.0
118,116221,Random,Random mechanical.AVI,1.113,0,0,1.0
119,837560,Mental,COAXING-B.AVI,1.443,1,0,1.0
120,837560,Random,BILLIARD-A.AVI,1.662,9,0,9.0
121,837560,Random,DRIFTING-A.AVI,1.989,1,0,0.0
122,837560,Mental,Fishing.AVI,1.379,0,0,0.0
123,837560,Random,Random mechanical.AVI,1.056,0,0,1.0
124,171532,Mental,Scaring.AVI,1.277,1,1,1.0
125,171532,Mental,SEDUCING-B.AVI,0.859,1,1,1.0
126,171532,Random,STAR-A.AVI,0.721,0,1,1.0
127,171532,Mental,SURPRISING-B.AVI,1.009,1,1,1.0
128,171532,Random,TENNIS-A.AVI,0.824,0,1,1.0
133,211821,Mental,COAXING-B.AVI,1.37,1,0,1.0
134,211821,Random,BILLIARD-A.AVI,0.894,0,0,1.0
135,211821,Random,DRIFTING-A.AVI,1.191,0,0,1.0
136,211821,Mental,Fishing.AVI,1.356,1,0,1.0
137,211821,Random,Random mechanical.AVI,1.511,0,0,1.0
138,559457,Mental,COAXING-B.AVI,0.961,1,0,1.0
139,559457,Random,BILLIARD-A.AVI,0.915,0,0,1.0
140,559457,Random,DRIFTING-A.AVI,0.875,0,0,1.0
141,559457,Mental,Fishing.AVI,0.74,1,0,1.0
142,559457,Random,Random mechanical.AVI,0.977,9,0,9.0
147,628248,Mental,COAXING-B.AVI,1.683,1,0,1.0
148,628248,Random,BILLIARD-A.AVI,1.458,0,0,1.0
149,628248,Random,DRIFTING-A.AVI,1.212,0,0,1.0
150,628248,Mental,Fishing.AVI,0.906,1,0,1.0
151,628248,Random,Random mechanical.AVI,1.92,9,0,9.0
152,552544,Mental,Scaring.AVI,0.704,1,1,1.0
153,552544,Mental,SEDUCING-B.AVI,0.968,1,1,1.0
154,552544,Random,STAR-A.AVI,0.866,0,1,1.0
155,552544,Mental,SURPRISING-B.AVI,1.214,1,1,1.0
156,552544,Random,TENNIS-A.AVI,0.578,0,1,1.0
157,201414,Mental,Scaring.AVI,1.172,1,1,1.0
158,201414,Mental,SEDUCING-B.AVI,0.786,1,1,1.0
159,201414,Random,STAR-A.AVI,1.036,0,1,1.0
160,201414,Mental,SURPRISING-B.AVI,0.769,1,1,1.0
161,201414,Random,TENNIS-A.AVI,1.309,0,1,1.0
162,175742,Mental,Scaring.AVI,0.801,1,1,1.0
163,175742,Mental,SEDUCING-B.AVI,0.837,1,1,1.0
164,175742,Random,STAR-A.AVI,0.727,0,1,1.0
165,175742,Mental,SURPRISING-B.AVI,0.905,1,1,1.0
166,175742,Random,TENNIS-A.AVI,0.921,0,1,1.0
167,169949,Mental,COAXING-B.AVI,1.392,1,0,1.0
168,169949,Random,BILLIARD-A.AVI,2.002,0,0,1.0
169,169949,Random,DRIFTING-A.AVI,0.823,0,0,1.0
170,169949,Mental,Fishing.AVI,1.221,1,0,1.0
171,169949,Random,Random mechanical.AVI,0.845,0,0,1.0
172,130316,Mental,COAXING-B.AVI,1.048,1,0,1.0
173,130316,Random,BILLIARD-A.AVI,1.863,0,0,1.0
174,130316,Random,DRIFTING-A.AVI,0.995,0,0,1.0
175,130316,Mental,Fishing.AVI,1.321,1,0,1.0
176,130316,Random,Random mechanical.AVI,2.277,9,0,9.0
182,309636,Mental,Scaring.AVI,1.529,1,1,1.0
183,309636,Mental,SEDUCING-B.AVI,2.271,1,1,1.0
184,309636,Random,STAR-A.AVI,0.975,0,1,1.0
185,309636,Mental,SURPRISING-B.AVI,1.241,1,1,1.0
186,309636,Random,TENNIS-A.AVI,1.653,0,1,1.0
187,153732,Mental,COAXING-B.AVI,1.055,1,0,1.0
188,153732,Random,BILLIARD-A.AVI,1.931,0,0,1.0
189,153732,Random,DRIFTING-A.AVI,0.64,0,0,1.0
190,153732,Mental,Fishing.AVI,0.486,0,0,0.0
191,153732,Random,Random mechanical.AVI,0.798,0,0,1.0
192,107018,Mental,COAXING-B.AVI,0.904,1,0,1.0
193,107018,Random,BILLIARD-A.AVI,1.293,0,0,1.0
194,107018,Random,DRIFTING-A.AVI,0.886,0,0,1.0
195,107018,Mental,Fishing.AVI,0.974,1,0,1.0
196,107018,Random,Random mechanical.AVI,1.192,0,0,1.0
197,654754,Mental,COAXING-B.AVI,1.156,1,0,1.0
198,654754,Random,BILLIARD-A.AVI,0.793,0,0,1.0
199,654754,Random,DRIFTING-A.AVI,0.711,0,0,1.0
200,654754,Mental,Fishing.AVI,0.81,1,0,1.0
201,654754,Random,Random mechanical.AVI,2.084,0,0,1.0
220,728454,Mental,Scaring.AVI,0.929,1,1,1.0
221,728454,Mental,SEDUCING-B.AVI,1.197,1,1,1.0
222,728454,Random,STAR-A.AVI,1.464,0,1,1.0
223,728454,Mental,SURPRISING-B.AVI,0.875,1,1,1.0
224,728454,Random,TENNIS-A.AVI,1.027,0,1,1.0
229,144428,Mental,Scaring.AVI,1.882,1,1,1.0
230,144428,Mental,SEDUCING-B.AVI,0.609,1,1,1.0
231,144428,Random,STAR-A.AVI,0.497,0,1,1.0
232,144428,Mental,SURPRISING-B.AVI,1.356,1,1,1.0
233,144428,Random,TENNIS-A.AVI,0.789,0,1,1.0
234,188751,Mental,COAXING-B.AVI,1.837,1,0,1.0
235,188751,Random,BILLIARD-A.AVI,1.16,0,0,1.0
236,188751,Random,DRIFTING-A.AVI,0.788,0,0,1.0
237,188751,Mental,Fishing.AVI,0.986,1,0,1.0
238,188751,Random,Random mechanical.AVI,0.704,0,0,1.0
239,688569,Mental,Scaring.AVI,0.754,1,1,1.0
240,688569,Mental,SEDUCING-B.AVI,0.481,1,1,1.0
241,688569,Random,STAR-A.AVI,0.621,0,1,1.0
242,688569,Mental,SURPRISING-B.AVI,0.896,1,1,1.0
243,688569,Random,TENNIS-A.AVI,1.171,0,1,1.0
244,196851,Mental,COAXING-B.AVI,2.173,1,0,1.0
245,196851,Random,BILLIARD-A.AVI,0.749,0,0,1.0
246,196851,Random,DRIFTING-A.AVI,0.693,0,0,1.0
247,196851,Mental,Fishing.AVI,1.376,0,0,0.0
248,196851,Random,Random mechanical.AVI,1.407,0,0,1.0
249,155938,Mental,COAXING-B.AVI,1.317,1,0,1.0
250,155938,Random,BILLIARD-A.AVI,1.298,9,0,9.0
251,155938,Random,DRIFTING-A.AVI,1.849,0,0,1.0
252,155938,Mental,Fishing.AVI,0.923,1,0,1.0
253,155938,Random,Random mechanical.AVI,0.786,9,0,9.0
259,115825,Mental,Scaring.AVI,1.018,1,1,1.0
260,115825,Mental,SEDUCING-B.AVI,0.867,1,1,1.0
261,115825,Random,STAR-A.AVI,1.026,0,1,1.0
262,115825,Mental,SURPRISING-B.AVI,1.125,1,1,1.0
263,115825,Random,TENNIS-A.AVI,0.839,9,1,9.0
269,599469,Mental,Scaring.AVI,0.653,1,1,1.0
270,599469,Mental,SEDUCING-B.AVI,0.511,1,1,1.0
271,599469,Random,STAR-A.AVI,0.625,0,1,1.0
272,599469,Mental,SURPRISING-B.AVI,0.491,1,1,1.0
273,599469,Random,TENNIS-A.AVI,0.843,9,1,9.0
274,732243,Mental,COAXING-B.AVI,1.673,1,0,1.0
275,732243,Random,BILLIARD-A.AVI,0.63,0,0,1.0
276,732243,Random,DRIFTING-A.AVI,0.729,0,0,1.0
277,732243,Mental,Fishing.AVI,0.877,1,0,1.0
278,732243,Random,Random mechanical.AVI,1.886,0,0,1.0
279,192035,Mental,Scaring.AVI,1.638,1,1,1.0
280,192035,Mental,SEDUCING-B.AVI,0.434,9,1,9.0
281,192035,Random,STAR-A.AVI,0.272,0,1,1.0
282,192035,Mental,SURPRISING-B.AVI,0.535,1,1,1.0
283,192035,Random,TENNIS-A.AVI,1.665,1,1,0.0
284,180836,Mental,Scaring.AVI,1.351,9,1,9.0
285,180836,Mental,SEDUCING-B.AVI,0.677,1,1,1.0
286,180836,Random,STAR-A.AVI,0.627,0,1,1.0
287,180836,Mental,SURPRISING-B.AVI,0.646,1,1,1.0
288,180836,Random,TENNIS-A.AVI,0.545,0,1,1.0
289,298455,Mental,COAXING-B.AVI,1.689,1,0,1.0
290,298455,Random,BILLIARD-A.AVI,0.666,0,0,1.0
291,298455,Random,DRIFTING-A.AVI,0.325,0,0,1.0
292,298455,Mental,Fishing.AVI,0.824,1,0,1.0
293,298455,Random,Random mechanical.AVI,0.603,9,0,9.0
299,970764,Mental,COAXING-B.AVI,1.037,1,0,1.0
