subj_idx,stim,movie,rt,response
168745,Mental,Scaring.AVI,1.252,1
168745,Mental,SEDUCING-B.AVI,0.578,1
168745,Random,STAR-A.AVI,1.643,0
168745,Mental,SURPRISING-B.AVI,1.082,1
168745,Random,TENNIS-A.AVI,1.232,0
668361,Mental,COAXING-B.AVI,1.796,9
668361,Random,BILLIARD-A.AVI,1.254,0
668361,Random,DRIFTING-A.AVI,0.59,0
668361,Mental,Fishing.AVI,0.993,0
668361,Random,Random mechanical.AVI,0.816,0
165638,Mental,COAXING-B.AVI,0.842,1
165638,Random,BILLIARD-A.AVI,0.921,0
165638,Random,DRIFTING-A.AVI,0.96,0
165638,Mental,Fishing.AVI,2.544,1
165638,Random,Random mechanical.AVI,1.179,0
679770,Mental,Scaring.AVI,0.583,1
679770,Mental,SEDUCING-B.AVI,0.525,1
679770,Random,STAR-A.AVI,0.619,0
679770,Mental,SURPRISING-B.AVI,0.588,1
679770,Random,TENNIS-A.AVI,0.674,0
179548,Mental,COAXING-B.AVI,0.944,1
179548,Random,BILLIARD-A.AVI,0.815,0
179548,Random,DRIFTING-A.AVI,0.554,0
179548,Mental,Fishing.AVI,0.858,1
179548,Random,Random mechanical.AVI,1.223,0
248339,Mental,Scaring.AVI,0.752,1
248339,Mental,SEDUCING-B.AVI,0.824,9
248339,Random,STAR-A.AVI,0.927,0
248339,Mental,SURPRISING-B.AVI,0.932,1
248339,Random,TENNIS-A.AVI,0.839,0
176845,Mental,Scaring.AVI,0.607,1
176845,Mental,SEDUCING-B.AVI,0.377,1
176845,Random,STAR-A.AVI,0.724,0
176845,Mental,SURPRISING-B.AVI,0.833,1
176845,Random,TENNIS-A.AVI,0.578,0
133019,Mental,Scaring.AVI,1.28,1
133019,Mental,SEDUCING-B.AVI,0.594,1
133019,Random,STAR-A.AVI,0.371,0
133019,Mental,SURPRISING-B.AVI,0.981,1
133019,Random,TENNIS-A.AVI,2.104,0
211114,Mental,Scaring.AVI,0.495,1
211114,Mental,SEDUCING-B.AVI,0.799,1
211114,Random,STAR-A.AVI,0.777,0
211114,Mental,SURPRISING-B.AVI,0.557,1
211114,Random,TENNIS-A.AVI,0.468,1
176037,Mental,Scaring.AVI,1.703,9
176037,Mental,SEDUCING-B.AVI,0.848,1
176037,Random,STAR-A.AVI,1.056,0
176037,Mental,SURPRISING-B.AVI,0.742,1
176037,Random,TENNIS-A.AVI,1.077,9
134021,Mental,Scaring.AVI,1.429,1
